Mpha_RNA1086_R9	gene_0
Amel_RNA21386_R0	gene_7704
Mpha_RNA10402_R0	gene_7705
Mpha_RNA10403_R0	gene_7706
Mpha_RNA10387_R0	gene_7707
Mpha_RNA10390_R0	gene_7708
Lhum_RNA3928_R0	gene_7708
Dmel_RNA24262_R1	gene_7709
Aech_RNA8658_R0	gene_7710
Lhum_RNA9008_R0	gene_7710
Lhum_RNA9009_R0	gene_7710
Dmel_RNA20389_R0	gene_7710
Aech_RNA5931_R0	gene_7711
Mpha_RNA10406_R0	gene_7712
Mpha_RNA10409_R0	gene_7713
Amel_RNA22110_R0	gene_7713
Nvit_RNA22995_R0	gene_7713
Mpha_RNA10416_R0	gene_7714
Nvit_RNA17716_R1	gene_7715
Mpha_RNA10407_R0	gene_7716
Mpha_RNA10408_R0	gene_7717
Nvit_RNA16340_R0	gene_7718
Sinv_RNA1961_R1	gene_7719
Mpha_RNA10417_R0	gene_7720
Mpha_RNA10420_R0	gene_7720
Amel_RNA13918_R0	gene_7720
Nvit_RNA1720_R0	gene_7720
Amel_RNA15224_R0	gene_7721
Mpha_RNA10425_R0	gene_7722
Mpha_RNA10430_R0	gene_7723
Cbir_RNA12113_R0	gene_7723
Mpha_RNA10438_R0	gene_7724
Mpha_RNA10439_R0	gene_7725
Mpha_RNA10424_R0	gene_7726
Sinv_RNA3173_R0	gene_7726
Mpha_RNA10426_R0	gene_7727
Mpha_RNA10435_R0	gene_7728
Mpha_RNA10433_R0	gene_7728
Mpha_RNA10437_R0	gene_7728
Sinv_RNA3176_R0	gene_7728
Dqua_RNA3616_R0	gene_7728
Cbir_RNA20827_R0	gene_7728
Dqua_RNA3617_R0	gene_7728
Cbir_RNA20829_R0	gene_7728
Sinv_RNA7400_R0	gene_7728
Dmel_RNA20942_R3	gene_7729
Mpha_RNA10441_R0	gene_7730
Mpha_RNA10440_R0	gene_7730
Sinv_RNA18175_R5	gene_7731
Mpha_RNA10447_R0	gene_7732
Mpha_RNA10448_R0	gene_7733
Mpha_RNA10450_R0	gene_7733
Mpha_RNA10453_R0	gene_7734
Sinv_RNA21499_R0	gene_7734
Mpha_RNA10454_R0	gene_7735
Sinv_RNA17386_R0	gene_7735
Sinv_RNA19151_R1	gene_7735
Sinv_RNA1957_R1	gene_7735
Sinv_RNA17275_R0	gene_7735
Lhum_RNA22105_R0	gene_7736
Mpha_RNA10446_R0	gene_7737
Mpha_RNA10451_R0	gene_7738
Aech_RNA6304_R0	gene_7738
Dqua_RNA7096_R0	gene_7738
Mpha_RNA10452_R0	gene_7739
Mpha_RNA10455_R0	gene_7740
Mpha_RNA10456_R0	gene_7741
Mpha_RNA10458_R0	gene_7741
Sinv_RNA17348_R3	gene_7742
Sinv_RNA10830_R6	gene_7743
Cbir_RNA15_R6	gene_7744
Mpha_RNA10464_R0	gene_7745
Mpha_RNA10466_R0	gene_7746
Cbir_RNA9564_R0	gene_7746
Mpha_RNA10462_R0	gene_7747
Amel_RNA976_R0	gene_7747
Dqua_RNA18317_R0	gene_7747
Mpha_RNA10465_R0	gene_7748
Mpha_RNA10467_R0	gene_7749
Mpha_RNA10468_R0	gene_7749
Lhum_RNA20934_R0	gene_7749
Mpha_RNA10474_R0	gene_7750
Amel_RNA8660_R3	gene_7750
Sinv_RNA14030_R0	gene_7751
Dqua_RNA9364_R0	gene_7752
Sinv_RNA19263_R0	gene_7753
Mpha_RNA10490_R0	gene_7754
Mpha_RNA10471_R0	gene_7755
Mpha_RNA10473_R0	gene_7756
Mpha_RNA10494_R0	gene_7757
Mpha_RNA10493_R0	gene_7757
Mpha_RNA10496_R0	gene_7758
Mpha_RNA21874_R1	gene_7759
Dqua_RNA16906_R0	gene_7760
Mpha_RNA10501_R0	gene_7761
Mpha_RNA10502_R0	gene_7761
Mpha_RNA10503_R0	gene_7762
Lhum_RNA8215_R4	gene_7763
Aech_RNA11197_R0	gene_7764
Mpha_RNA12320_R0	gene_7765
Sinv_RNA19887_R2	gene_7765
Sinv_RNA19885_R2	gene_7765
Sinv_RNA20307_R4	gene_7765
Aech_RNA14992_R4	gene_7765
Mpha_RNA12321_R0	gene_7766
Sinv_RNA22049_R1	gene_7767
Mpha_RNA10510_R0	gene_7768
Mpha_RNA23213_R8	gene_7769
Mpha_RNA10511_R0	gene_7770
Mpha_RNA10513_R0	gene_7770
Mpha_RNA10512_R0	gene_7770
Aech_RNA18410_R0	gene_7770
Nvit_RNA23023_R0	gene_7770
Mpha_RNA10515_R0	gene_7771
Mpha_RNA10514_R0	gene_7772
Mpha_RNA10520_R0	gene_7773
Mpha_RNA10517_R0	gene_7774
Mpha_RNA10519_R0	gene_7774
Dqua_RNA18421_R0	gene_7774
Mpha_RNA10518_R0	gene_7774
Sinv_RNA17865_R0	gene_7774
Mpha_RNA10516_R0	gene_7775
Dmel_RNA4119_R2	gene_7775
Mpha_RNA10521_R0	gene_7776
Dmel_RNA1319_R1	gene_7776
Mpha_RNA10522_R0	gene_7777
Lhum_RNA7096_R0	gene_7778
Mpha_RNA2964_R7	gene_7779
Lhum_RNA6724_R0	gene_7780
Lhum_RNA589_R0	gene_7781
Lhum_RNA12815_R1	gene_7782
Mpha_RNA10525_R0	gene_7783
Mpha_RNA10526_R0	gene_7784
Sinv_RNA2312_R0	gene_7784
Sinv_RNA19246_R6	gene_7785
Sinv_RNA21321_R7	gene_7786
Aech_RNA4352_R0	gene_7787
Mpha_RNA10530_R0	gene_7788
Dmel_RNA2177_R0	gene_7788
Mpha_RNA10533_R0	gene_7789
Mpha_RNA10539_R0	gene_7790
Mpha_RNA10538_R0	gene_7790
Amel_RNA27969_R0	gene_7790
Mpha_RNA10531_R0	gene_7791
Mpha_RNA10537_R0	gene_7792
Dmel_RNA30595_R0	gene_7792
Mpha_RNA10540_R0	gene_7793
Mpha_RNA10541_R0	gene_7794
Mpha_RNA10543_R0	gene_7795
Mpha_RNA10547_R0	gene_7796
Mpha_RNA10549_R0	gene_7797
Mpha_RNA10553_R0	gene_7798
Amel_RNA10312_R0	gene_7798
Nvit_RNA14982_R0	gene_7798
Lhum_RNA6167_R0	gene_7799
Mpha_RNA10558_R0	gene_7799
Mpha_RNA10557_R0	gene_7799
Mpha_RNA10555_R0	gene_7799
Aech_RNA6345_R0	gene_7799
Amel_RNA28280_R0	gene_7799
Dmel_RNA11526_R0	gene_7799
Mpha_RNA10561_R0	gene_7800
Mpha_RNA10563_R0	gene_7801
Cbir_RNA25181_R0	gene_7801
Mpha_RNA10566_R0	gene_7802
Sinv_RNA7697_R0	gene_7802
Dqua_RNA7146_R0	gene_7802
Mpha_RNA10570_R0	gene_7803
Lhum_RNA6069_R0	gene_7803
Dqua_RNA7143_R0	gene_7803
Amel_RNA26734_R0	gene_7803
Dmel_RNA15851_R0	gene_7803
Nvit_RNA8289_R4	gene_7803
Mpha_RNA10544_R0	gene_7804
Sinv_RNA7672_R0	gene_7804
Mpha_RNA10545_R0	gene_7804
Lhum_RNA8598_R0	gene_7804
Cbir_RNA16419_R0	gene_7804
Mpha_RNA10548_R0	gene_7805
Dqua_RNA11578_R0	gene_7805
Mpha_RNA10551_R0	gene_7806
Dqua_RNA11582_R0	gene_7806
Nvit_RNA18347_R0	gene_7806
Mpha_RNA10554_R0	gene_7807
Mpha_RNA10560_R0	gene_7808
Mpha_RNA10562_R0	gene_7809
Mpha_RNA10564_R0	gene_7810
Sinv_RNA9401_R0	gene_7810
Mpha_RNA10568_R0	gene_7811
Mpha_RNA10567_R0	gene_7811
Mpha_RNA10573_R0	gene_7812
Mpha_RNA10576_R0	gene_7813
Mpha_RNA10605_R0	gene_7814
Mpha_RNA10606_R0	gene_7815
Mpha_RNA10607_R0	gene_7815
Amel_RNA15551_R0	gene_7815
Mpha_RNA10610_R0	gene_7816
Mpha_RNA10617_R0	gene_7817
Mpha_RNA10616_R0	gene_7817
Cbir_RNA15220_R0	gene_7817
Mpha_RNA10627_R0	gene_7818
Dqua_RNA6881_R0	gene_7818
Mpha_RNA1263_R3	gene_7819
Mpha_RNA10602_R0	gene_7820
Mpha_RNA10601_R0	gene_7820
Mpha_RNA10599_R0	gene_7821
Aech_RNA16263_R0	gene_7821
Mpha_RNA10608_R0	gene_7822
Mpha_RNA10619_R0	gene_7823
Mpha_RNA10626_R0	gene_7824
Mpha_RNA10625_R0	gene_7824
Mpha_RNA10624_R0	gene_7824
Mpha_RNA10629_R0	gene_7825
Aech_RNA6608_R0	gene_7825
Sinv_RNA8796_R6	gene_7825
Cbir_RNA6294_R1	gene_7825
Mpha_RNA9295_R1	gene_7826
Mpha_RNA10630_R0	gene_7827
Cbir_RNA14141_R0	gene_7828
Mpha_RNA10643_R0	gene_7829
Mpha_RNA10646_R0	gene_7830
Aech_RNA13261_R1	gene_7831
Mpha_RNA10631_R0	gene_7832
Mpha_RNA10642_R0	gene_7833
Mpha_RNA10645_R0	gene_7834
Sinv_RNA18204_R0	gene_7835
Sinv_RNA18201_R0	gene_7836
Dmel_RNA25920_R0	gene_7836
Mpha_RNA10648_R0	gene_7837
Nvit_RNA7576_R0	gene_7838
Lhum_RNA23264_R0	gene_7839
Mpha_RNA10649_R0	gene_7840
Mpha_RNA10654_R0	gene_7841
Mpha_RNA10667_R0	gene_7842
Mpha_RNA10651_R0	gene_7843
Aech_RNA9990_R0	gene_7844
Mpha_RNA10662_R0	gene_7844
Mpha_RNA10661_R0	gene_7844
Sinv_RNA5869_R0	gene_7844
Cbir_RNA20780_R0	gene_7844
Sinv_RNA656_R0	gene_7844
Mpha_RNA10663_R0	gene_7845
Lhum_RNA11871_R0	gene_7845
Nvit_RNA9815_R0	gene_7845
Mpha_RNA10665_R0	gene_7846
Dmel_RNA27192_R5	gene_7846
Amel_RNA25788_R5	gene_7846
Lhum_RNA13128_R5	gene_7846
Mpha_RNA10666_R0	gene_7847
Mpha_RNA10669_R0	gene_7848
Aech_RNA9978_R0	gene_7848
Cbir_RNA10689_R0	gene_7848
Mpha_RNA10675_R0	gene_7849
Aech_RNA17727_R0	gene_7849
Sinv_RNA5166_R1	gene_7850
Sinv_RNA5160_R0	gene_7851
Lhum_RNA4873_R0	gene_7852
Mpha_RNA10673_R0	gene_7852
Mpha_RNA10672_R0	gene_7852
Mpha_RNA10671_R0	gene_7852
Aech_RNA17730_R0	gene_7852
Mpha_RNA10674_R0	gene_7852
Sinv_RNA5163_R0	gene_7852
Dqua_RNA3982_R0	gene_7852
Mpha_RNA10676_R0	gene_7853
Mpha_RNA10678_R0	gene_7854
Sinv_RNA7738_R1	gene_7855
Dmel_RNA8816_R0	gene_7856
Cbir_RNA15180_R0	gene_7857
Dmel_RNA4446_R0	gene_7857
Dmel_RNA34558_R5	gene_7857
Aech_RNA16367_R0	gene_7858
Mpha_RNA10689_R0	gene_7859
Mpha_RNA10695_R0	gene_7860
Mpha_RNA10694_R0	gene_7860
Mpha_RNA10698_R0	gene_7860
Sinv_RNA4738_R0	gene_7861
Sinv_RNA4737_R0	gene_7862
Sinv_RNA12558_R1	gene_7863
Mpha_RNA12580_R2	gene_7864
Aech_RNA20355_R3	gene_7865
Sinv_RNA13235_R4	gene_7866
Mpha_RNA10719_R0	gene_7867
Mpha_RNA10707_R0	gene_7868
Mpha_RNA10722_R0	gene_7869
Cbir_RNA12000_R0	gene_7870
Dmel_RNA19302_R0	gene_7871
Mpha_RNA10724_R0	gene_7872
Mpha_RNA10725_R0	gene_7873
Aech_RNA12571_R1	gene_7874
Dqua_RNA20904_R0	gene_7875
Mpha_RNA10730_R0	gene_7876
Mpha_RNA10729_R0	gene_7877
Sinv_RNA15486_R0	gene_7877
Mpha_RNA10733_R0	gene_7878
Dqua_RNA20901_R0	gene_7878
Cbir_RNA305_R0	gene_7879
Sinv_RNA19164_R0	gene_7880
Mpha_RNA10736_R0	gene_7881
Aech_RNA13098_R0	gene_7881
Aech_RNA2267_R0	gene_7882
Mpha_RNA10739_R0	gene_7883
Mpha_RNA10740_R0	gene_7884
Lhum_RNA9046_R0	gene_7884
Dmel_RNA9582_R0	gene_7884
Mpha_RNA10758_R0	gene_7885
Mpha_RNA10763_R0	gene_7886
Lhum_RNA3540_R0	gene_7886
Nvit_RNA1300_R0	gene_7886
Mpha_RNA10747_R0	gene_7887
Amel_RNA25631_R0	gene_7887
Mpha_RNA10760_R0	gene_7888
Mpha_RNA10761_R0	gene_7888
Mpha_RNA10765_R0	gene_7889
Cbir_RNA4583_R0	gene_7889
Cbir_RNA4584_R0	gene_7889
Sinv_RNA16946_R0	gene_7889
Sinv_RNA18948_R0	gene_7890
Cbir_RNA21092_R1	gene_7891
Cbir_RNA21134_R2	gene_7892
Mpha_RNA1387_R3	gene_7893
Sinv_RNA16367_R0	gene_7894
Mpha_RNA10767_R0	gene_7894
Nvit_RNA7887_R0	gene_7894
Nvit_RNA7888_R0	gene_7894
Amel_RNA5856_R0	gene_7894
Mpha_RNA10773_R0	gene_7895
Mpha_RNA10774_R0	gene_7896
Nvit_RNA12653_R0	gene_7896
Mpha_RNA10778_R0	gene_7897
Mpha_RNA10783_R0	gene_7898
Mpha_RNA10785_R0	gene_7899
Mpha_RNA10786_R0	gene_7900
Mpha_RNA10787_R0	gene_7900
Sinv_RNA506_R0	gene_7900
Amel_RNA6765_R0	gene_7900
Nvit_RNA23812_R0	gene_7900
Mpha_RNA10777_R0	gene_7901
Aech_RNA1883_R0	gene_7901
Mpha_RNA10781_R0	gene_7902
Amel_RNA9564_R0	gene_7903
Mpha_RNA10788_R0	gene_7904
Mpha_RNA10789_R0	gene_7904
Sinv_RNA504_R0	gene_7905
Nvit_RNA10911_R0	gene_7905
Sinv_RNA16967_R0	gene_7906
Mpha_RNA10793_R0	gene_7907
Aech_RNA6233_R0	gene_7908
Cbir_RNA22122_R9	gene_7909
Aech_RNA18543_R0	gene_7910
Cbir_RNA21457_R0	gene_7911
Nvit_RNA24401_R0	gene_7912
Mpha_RNA10801_R0	gene_7913
Cbir_RNA11638_R0	gene_7914
Amel_RNA15828_R0	gene_7915
Mpha_RNA10804_R0	gene_7916
Mpha_RNA10813_R0	gene_7917
Mpha_RNA10806_R0	gene_7918
Sinv_RNA21778_R1	gene_7918
Mpha_RNA10810_R0	gene_7919
Cbir_RNA10167_R0	gene_7919
Mpha_RNA10816_R0	gene_7920
Dmel_RNA11739_R1	gene_7921
Mpha_RNA10817_R0	gene_7922
Sinv_RNA18986_R5	gene_7923
Mpha_RNA10826_R0	gene_7924
Lhum_RNA1035_R2	gene_7925
Mpha_RNA10829_R0	gene_7926
Amel_RNA15366_R0	gene_7926
Mpha_RNA10831_R0	gene_7927
Dmel_RNA17492_R3	gene_7928
Mpha_RNA10836_R0	gene_7929
Mpha_RNA10835_R0	gene_7929
Mpha_RNA10838_R0	gene_7930
Lhum_RNA23259_R0	gene_7930
Cbir_RNA23211_R0	gene_7931
Mpha_RNA10859_R0	gene_7932
Mpha_RNA10857_R0	gene_7933
Mpha_RNA10839_R0	gene_7934
Mpha_RNA10840_R0	gene_7935
Mpha_RNA10843_R0	gene_7936
Mpha_RNA10844_R0	gene_7937
Mpha_RNA10852_R0	gene_7938
Mpha_RNA10855_R0	gene_7939
Mpha_RNA10847_R0	gene_7940
Mpha_RNA10846_R0	gene_7941
Mpha_RNA10848_R0	gene_7942
Mpha_RNA10851_R0	gene_7943
Mpha_RNA10850_R0	gene_7944
Mpha_RNA10849_R0	gene_7945
Sinv_RNA4388_R1	gene_7946
Sinv_RNA4384_R0	gene_7947
Mpha_RNA1644_R1	gene_7948
Mpha_RNA10861_R0	gene_7949
Mpha_RNA10862_R0	gene_7950
Lhum_RNA593_R5	gene_7951
Aech_RNA14458_R5	gene_7952
Aech_RNA5259_R2	gene_7953
Sinv_RNA13171_R1	gene_7954
Lhum_RNA2224_R5	gene_7955
Mpha_RNA1970_R1	gene_7956
Mpha_RNA10863_R0	gene_7957
Mpha_RNA10866_R0	gene_7958
Mpha_RNA10874_R0	gene_7959
Mpha_RNA10873_R0	gene_7960
Mpha_RNA10875_R0	gene_7961
Mpha_RNA18016_R1	gene_7962
Sinv_RNA12961_R6	gene_7962
Mpha_RNA10877_R0	gene_7963
Mpha_RNA4393_R2	gene_7963
Sinv_RNA12509_R1	gene_7963
Mpha_RNA10879_R0	gene_7964
Mpha_RNA10882_R0	gene_7965
Mpha_RNA10883_R0	gene_7966
Sinv_RNA12501_R0	gene_7967
Sinv_RNA12502_R0	gene_7967
Mpha_RNA10890_R0	gene_7967
Mpha_RNA10889_R0	gene_7967
Mpha_RNA10892_R0	gene_7967
Mpha_RNA10891_R0	gene_7967
Mpha_RNA10895_R0	gene_7967
Lhum_RNA12490_R0	gene_7967
Lhum_RNA12485_R0	gene_7967
Lhum_RNA12488_R0	gene_7967
Lhum_RNA12491_R0	gene_7967
Lhum_RNA12484_R0	gene_7967
Lhum_RNA12483_R0	gene_7967
Mpha_RNA10885_R0	gene_7967
Dqua_RNA6251_R0	gene_7967
Amel_RNA25392_R0	gene_7967
Dqua_RNA6253_R0	gene_7967
Dqua_RNA6252_R0	gene_7967
Amel_RNA25394_R0	gene_7967
Cbir_RNA1113_R0	gene_7967
Cbir_RNA1127_R0	gene_7967
Cbir_RNA1114_R0	gene_7967
Mpha_RNA10898_R0	gene_7968
Cbir_RNA3815_R0	gene_7969
Mpha_RNA10888_R0	gene_7970
Mpha_RNA10900_R0	gene_7971
Cbir_RNA1490_R0	gene_7972
Mpha_RNA10904_R0	gene_7973
Mpha_RNA10907_R0	gene_7974
Mpha_RNA10908_R0	gene_7975
Mpha_RNA10906_R0	gene_7976
Mpha_RNA10910_R0	gene_7977
Mpha_RNA10911_R0	gene_7978
Nvit_RNA25085_R0	gene_7979
Lhum_RNA2054_R9	gene_7980
Lhum_RNA7417_R0	gene_7981
Mpha_RNA10916_R0	gene_7982
Mpha_RNA10917_R0	gene_7982
Dqua_RNA22392_R0	gene_7983
Mpha_RNA10922_R0	gene_7984
Sinv_RNA6766_R0	gene_7984
Mpha_RNA10915_R0	gene_7985
Mpha_RNA10914_R0	gene_7985
Sinv_RNA1346_R0	gene_7985
Mpha_RNA10918_R0	gene_7986
Mpha_RNA10920_R0	gene_7986
Mpha_RNA10919_R0	gene_7986
Sinv_RNA6765_R0	gene_7987
Sinv_RNA6764_R0	gene_7987
Cbir_RNA16386_R0	gene_7987
Dmel_RNA15755_R0	gene_7987
Mpha_RNA10930_R0	gene_7988
Mpha_RNA10934_R0	gene_7989
Mpha_RNA10935_R0	gene_7989
Dmel_RNA27990_R0	gene_7990
Dmel_RNA27991_R0	gene_7990
Mpha_RNA10931_R0	gene_7991
Mpha_RNA10932_R0	gene_7991
Sinv_RNA19498_R0	gene_7991
Cbir_RNA19404_R0	gene_7991
Sinv_RNA4758_R0	gene_7991
Cbir_RNA7561_R0	gene_7992
Mpha_RNA10939_R0	gene_7993
Sinv_RNA7856_R0	gene_7994
Lhum_RNA6001_R0	gene_7995
Mpha_RNA10940_R0	gene_7996
Nvit_RNA24975_R0	gene_7996
Lhum_RNA22396_R0	gene_7996
Sinv_RNA6049_R0	gene_7996
Nvit_RNA12227_R7	gene_7996
Mpha_RNA10942_R0	gene_7997
Mpha_RNA10943_R0	gene_7998
Amel_RNA9701_R0	gene_7998
Mpha_RNA10944_R0	gene_7999
Mpha_RNA10946_R0	gene_7999
Nvit_RNA1410_R0	gene_7999
Mpha_RNA10952_R0	gene_8000
Aech_RNA2606_R0	gene_8000
Mpha_RNA10948_R0	gene_8001
Mpha_RNA10949_R0	gene_8002
Mpha_RNA10951_R0	gene_8003
Sinv_RNA6102_R0	gene_8003
Sinv_RNA6103_R0	gene_8003
Nvit_RNA14_R4	gene_8004
Mpha_RNA10959_R0	gene_8005
Mpha_RNA10955_R0	gene_8006
Sinv_RNA16054_R0	gene_8006
Mpha_RNA10958_R0	gene_8007
Sinv_RNA16059_R0	gene_8007
Aech_RNA20377_R0	gene_8008
Aech_RNA20376_R0	gene_8008
Sinv_RNA4458_R0	gene_8008
Sinv_RNA22251_R3	gene_8009
Mpha_RNA10966_R0	gene_8010
Mpha_RNA10967_R0	gene_8010
Dqua_RNA3515_R0	gene_8010
Mpha_RNA10970_R0	gene_8011
Mpha_RNA10973_R0	gene_8012
Mpha_RNA10974_R0	gene_8012
Mpha_RNA10976_R0	gene_8013
Mpha_RNA10975_R0	gene_8013
Sinv_RNA19354_R0	gene_8013
Mpha_RNA10977_R0	gene_8014
Mpha_RNA10978_R0	gene_8015
Cbir_RNA11082_R0	gene_8015
Dmel_RNA16341_R0	gene_8015
Aech_RNA1229_R0	gene_8016
Mpha_RNA10982_R0	gene_8017
Aech_RNA20185_R0	gene_8017
Sinv_RNA1382_R0	gene_8018
Mpha_RNA10983_R0	gene_8019
Mpha_RNA10989_R0	gene_8020
Aech_RNA4876_R0	gene_8021
Dmel_RNA26048_R0	gene_8021
Dqua_RNA16599_R0	gene_8022
Mpha_RNA10994_R0	gene_8023
Dmel_RNA20556_R1	gene_8024
Mpha_RNA11007_R0	gene_8025
Mpha_RNA11015_R0	gene_8026
Sinv_RNA5736_R0	gene_8027
Mpha_RNA11020_R0	gene_8027
Mpha_RNA11003_R0	gene_8028
Mpha_RNA11005_R0	gene_8028
Mpha_RNA11006_R0	gene_8029
Nvit_RNA23433_R1	gene_8029
Dmel_RNA13670_R1	gene_8029
Mpha_RNA11011_R0	gene_8030
Mpha_RNA11009_R0	gene_8030
Mpha_RNA11010_R0	gene_8030
Mpha_RNA11008_R0	gene_8030
Cbir_RNA13071_R0	gene_8030
Nvit_RNA15587_R0	gene_8030
Mpha_RNA11013_R0	gene_8031
Mpha_RNA11016_R0	gene_8032
Mpha_RNA11019_R0	gene_8033
Aech_RNA5679_R0	gene_8033
Nvit_RNA25416_R1	gene_8034
Mpha_RNA11022_R0	gene_8035
Mpha_RNA11024_R0	gene_8036
Dqua_RNA8400_R6	gene_8037
Lhum_RNA14195_R1	gene_8038
Mpha_RNA11027_R0	gene_8038
Nvit_RNA14412_R3	gene_8038
Sinv_RNA7937_R0	gene_8039
Sinv_RNA16950_R1	gene_8040
Mpha_RNA11025_R0	gene_8041
Mpha_RNA11026_R0	gene_8042
Mpha_RNA11031_R0	gene_8043
Aech_RNA4815_R0	gene_8043
Mpha_RNA11030_R0	gene_8043
Dqua_RNA19939_R0	gene_8043
Nvit_RNA21556_R1	gene_8043
Mpha_RNA11035_R0	gene_8044
Mpha_RNA11039_R0	gene_8045
Sinv_RNA5718_R0	gene_8045
Mpha_RNA11042_R0	gene_8046
Mpha_RNA11037_R0	gene_8047
Mpha_RNA11038_R0	gene_8048
Mpha_RNA11041_R0	gene_8049
Mpha_RNA11048_R0	gene_8050
Mpha_RNA11052_R0	gene_8051
Mpha_RNA11057_R0	gene_8052
Sinv_RNA19748_R0	gene_8052
Nvit_RNA2402_R0	gene_8052
Aech_RNA16432_R0	gene_8053
Mpha_RNA11043_R0	gene_8054
Mpha_RNA11051_R0	gene_8055
Lhum_RNA11591_R0	gene_8055
Lhum_RNA11592_R0	gene_8055
Mpha_RNA11056_R0	gene_8056
Mpha_RNA11058_R0	gene_8057
Dqua_RNA13949_R0	gene_8057
Mpha_RNA11059_R0	gene_8058
Sinv_RNA19750_R0	gene_8058
Mpha_RNA11061_R0	gene_8059
Mpha_RNA11062_R0	gene_8060
Sinv_RNA11953_R0	gene_8060
Dqua_RNA6154_R0	gene_8061
Cbir_RNA18200_R0	gene_8062
Mpha_RNA11064_R0	gene_8062
Aech_RNA894_R3	gene_8062
Sinv_RNA21260_R5	gene_8062
Mpha_RNA11068_R0	gene_8063
Sinv_RNA21260_R2	gene_8063
Amel_RNA2838_R2	gene_8063
Sinv_RNA13417_R1	gene_8063
Lhum_RNA15029_R2	gene_8063
Sinv_RNA13421_R0	gene_8063
Cbir_RNA9647_R0	gene_8064
Mpha_RNA11071_R0	gene_8065
Mpha_RNA11072_R0	gene_8066
Cbir_RNA7356_R0	gene_8067
Cbir_RNA20251_R2	gene_8068
Mpha_RNA11076_R0	gene_8069
Mpha_RNA11075_R0	gene_8069
Mpha_RNA11077_R0	gene_8069
Sinv_RNA20715_R0	gene_8069
Mpha_RNA11078_R0	gene_8070
Mpha_RNA11079_R0	gene_8071
Mpha_RNA11080_R0	gene_8072
Sinv_RNA11265_R8	gene_8073
Sinv_RNA20_R0	gene_8074
Mpha_RNA11083_R0	gene_8075
Mpha_RNA11088_R0	gene_8076
Mpha_RNA11087_R0	gene_8076
Mpha_RNA11089_R0	gene_8077
Cbir_RNA21141_R0	gene_8077
Mpha_RNA11097_R0	gene_8078
Amel_RNA11842_R0	gene_8078
Amel_RNA11844_R0	gene_8078
Mpha_RNA11101_R0	gene_8079
Mpha_RNA11103_R0	gene_8080
Cbir_RNA7574_R0	gene_8080
Mpha_RNA11105_R0	gene_8081
Mpha_RNA11112_R0	gene_8082
Mpha_RNA11117_R0	gene_8083
Mpha_RNA11118_R0	gene_8083
Sinv_RNA2442_R0	gene_8083
Mpha_RNA11095_R0	gene_8084
Amel_RNA11841_R0	gene_8085
Mpha_RNA11098_R0	gene_8086
Dmel_RNA6663_R0	gene_8086
Dmel_RNA2787_R6	gene_8086
Mpha_RNA11102_R0	gene_8087
Aech_RNA20884_R0	gene_8087
Dmel_RNA10250_R4	gene_8087
Dqua_RNA15403_R0	gene_8088
Amel_RNA23366_R0	gene_8089
Mpha_RNA11111_R0	gene_8090
Mpha_RNA11116_R0	gene_8091
Dmel_RNA14375_R0	gene_8091
Cbir_RNA6748_R0	gene_8092
Amel_RNA19587_R0	gene_8092
Sinv_RNA9866_R0	gene_8093
Amel_RNA1162_R0	gene_8094
Mpha_RNA11124_R0	gene_8095
Mpha_RNA11123_R0	gene_8095
Dmel_RNA10097_R0	gene_8095
Dmel_RNA10095_R0	gene_8095
Mpha_RNA11125_R0	gene_8096
Dmel_RNA1895_R9	gene_8097
Dmel_RNA5138_R8	gene_8098
Dqua_RNA12991_R0	gene_8099
Dmel_RNA22897_R6	gene_8100
Mpha_RNA11128_R0	gene_8101
Mpha_RNA11130_R0	gene_8102
Mpha_RNA11129_R0	gene_8103
Mpha_RNA11131_R0	gene_8104
Sinv_RNA14352_R0	gene_8104
Mpha_RNA11140_R0	gene_8105
Mpha_RNA11133_R0	gene_8105
Aech_RNA4916_R0	gene_8105
Amel_RNA12820_R0	gene_8105
Dmel_RNA30263_R0	gene_8105
Sinv_RNA5778_R0	gene_8106
Lhum_RNA864_R0	gene_8107
Sinv_RNA7399_R0	gene_8108
Mpha_RNA2098_R1	gene_8109
Mpha_RNA11142_R0	gene_8110
Mpha_RNA11143_R0	gene_8111
Cbir_RNA5439_R0	gene_8111
Dqua_RNA1398_R0	gene_8112
Mpha_RNA11146_R0	gene_8113
Amel_RNA29031_R0	gene_8113
Mpha_RNA11151_R0	gene_8114
Mpha_RNA11152_R0	gene_8115
Mpha_RNA11155_R0	gene_8116
Mpha_RNA11164_R0	gene_8117
Mpha_RNA11144_R0	gene_8118
Mpha_RNA11149_R0	gene_8119
Mpha_RNA11154_R0	gene_8120
Mpha_RNA11175_R0	gene_8121
Mpha_RNA11176_R0	gene_8121
Dqua_RNA4299_R0	gene_8121
Dqua_RNA4300_R0	gene_8121
Dmel_RNA22531_R0	gene_8121
Mpha_RNA11169_R0	gene_8122
Mpha_RNA11170_R0	gene_8123
Aech_RNA3616_R0	gene_8124
Aech_RNA3616_R1	gene_8125
Mpha_RNA11185_R0	gene_8126
Mpha_RNA11189_R0	gene_8126
Mpha_RNA11188_R0	gene_8126
Mpha_RNA11187_R0	gene_8126
Mpha_RNA11190_R0	gene_8126
Aech_RNA3627_R0	gene_8126
Dqua_RNA6837_R0	gene_8126
Dqua_RNA6836_R0	gene_8126
Dqua_RNA6833_R0	gene_8126
Dqua_RNA6832_R0	gene_8126
