Dqua_RNA0_R0	gene_0
Dqua_RNA11854_R0	gene_6799
Dqua_RNA11853_R0	gene_6799
Lhum_RNA17517_R0	gene_6799
Dqua_RNA11855_R0	gene_6800
Dqua_RNA11856_R0	gene_6801
Lhum_RNA5784_R2	gene_6802
Dqua_RNA11869_R0	gene_6803
Aech_RNA5264_R0	gene_6804
Dqua_RNA11870_R0	gene_6805
Dqua_RNA11876_R0	gene_6806
Nvit_RNA3833_R2	gene_6806
Dqua_RNA11874_R0	gene_6807
Dqua_RNA11881_R0	gene_6808
Amel_RNA25331_R1	gene_6808
Cbir_RNA12388_R1	gene_6808
Dqua_RNA11880_R0	gene_6809
Amel_RNA25331_R2	gene_6809
Dqua_RNA11882_R0	gene_6810
Amel_RNA25331_R0	gene_6810
Dqua_RNA11883_R0	gene_6811
Dqua_RNA11885_R0	gene_6812
Dqua_RNA11884_R0	gene_6812
Cbir_RNA12396_R0	gene_6812
Dqua_RNA11890_R0	gene_6813
Dqua_RNA15007_R7	gene_6814
Aech_RNA15070_R0	gene_6815
Aech_RNA18219_R2	gene_6816
Cbir_RNA22988_R5	gene_6817
Lhum_RNA21142_R2	gene_6818
Sinv_RNA12811_R6	gene_6819
Dqua_RNA19816_R8	gene_6820
Sinv_RNA18552_R1	gene_6821
Sinv_RNA12427_R1	gene_6822
Mpha_RNA3058_R6	gene_6823
Mpha_RNA6658_R3	gene_6824
Dqua_RNA7867_R1	gene_6825
Dqua_RNA11893_R0	gene_6826
Dqua_RNA23389_R2	gene_6827
Dqua_RNA9895_R2	gene_6828
Cbir_RNA24644_R0	gene_6829
Dqua_RNA23106_R2	gene_6830
Dqua_RNA12757_R4	gene_6831
Sinv_RNA19164_R9	gene_6832
Dqua_RNA11903_R0	gene_6833
Lhum_RNA22703_R0	gene_6833
Dqua_RNA11911_R0	gene_6834
Dqua_RNA11905_R0	gene_6834
Dqua_RNA11906_R0	gene_6834
Sinv_RNA17154_R0	gene_6834
Dqua_RNA11913_R0	gene_6835
Mpha_RNA5442_R0	gene_6835
Amel_RNA28842_R0	gene_6835
Dqua_RNA11916_R0	gene_6836
Dmel_RNA16052_R0	gene_6837
Aech_RNA10264_R7	gene_6838
Dqua_RNA11937_R0	gene_6839
Dqua_RNA11940_R0	gene_6840
Dqua_RNA11945_R0	gene_6841
Nvit_RNA1522_R0	gene_6841
Dqua_RNA11951_R0	gene_6842
Dqua_RNA11952_R0	gene_6842
Dqua_RNA11956_R0	gene_6843
Dqua_RNA11959_R0	gene_6844
Dqua_RNA11963_R0	gene_6845
Dqua_RNA11964_R0	gene_6846
Dqua_RNA11894_R0	gene_6847
Dqua_RNA11895_R0	gene_6848
Dqua_RNA11898_R0	gene_6849
Dqua_RNA11923_R0	gene_6850
Dqua_RNA11924_R0	gene_6851
Nvit_RNA20054_R0	gene_6851
Dqua_RNA11936_R0	gene_6852
Mpha_RNA1459_R0	gene_6852
Dmel_RNA31580_R0	gene_6852
Dqua_RNA11942_R0	gene_6853
Dqua_RNA11948_R0	gene_6854
Dqua_RNA11954_R0	gene_6855
Dqua_RNA11953_R0	gene_6855
Aech_RNA20825_R0	gene_6855
Amel_RNA18399_R0	gene_6855
Dqua_RNA11958_R0	gene_6856
Dqua_RNA11960_R0	gene_6857
Dqua_RNA11961_R0	gene_6857
Dmel_RNA19761_R0	gene_6857
Dqua_RNA11962_R0	gene_6858
Cbir_RNA18736_R4	gene_6859
Dqua_RNA3353_R1	gene_6860
Dqua_RNA11968_R0	gene_6861
Dqua_RNA11972_R0	gene_6862
Dmel_RNA29070_R0	gene_6863
Cbir_RNA6286_R3	gene_6864
Dqua_RNA11984_R0	gene_6865
Cbir_RNA11530_R0	gene_6866
Dqua_RNA11997_R0	gene_6867
Cbir_RNA11516_R0	gene_6868
Dqua_RNA12000_R0	gene_6869
Dqua_RNA12003_R0	gene_6870
Dqua_RNA12004_R0	gene_6870
Dqua_RNA12013_R0	gene_6871
Cbir_RNA12910_R0	gene_6871
Dqua_RNA12015_R0	gene_6872
Aech_RNA5563_R0	gene_6872
Dqua_RNA12022_R0	gene_6873
Dqua_RNA12031_R0	gene_6874
Mpha_RNA7532_R0	gene_6874
Dqua_RNA12036_R0	gene_6875
Dqua_RNA12039_R0	gene_6876
Dqua_RNA12043_R0	gene_6877
Aech_RNA12405_R0	gene_6877
Sinv_RNA15278_R0	gene_6877
Dqua_RNA12046_R0	gene_6878
Cbir_RNA24814_R3	gene_6878
Lhum_RNA12133_R0	gene_6879
Dmel_RNA29384_R0	gene_6879
Mpha_RNA18640_R0	gene_6879
Dqua_RNA12049_R0	gene_6880
Dqua_RNA12054_R0	gene_6881
Nvit_RNA22450_R0	gene_6881
Dqua_RNA12056_R0	gene_6882
Dqua_RNA12059_R0	gene_6883
Dqua_RNA12067_R0	gene_6884
Cbir_RNA12875_R0	gene_6885
Nvit_RNA5913_R2	gene_6886
Dqua_RNA12072_R0	gene_6887
Aech_RNA21234_R1	gene_6888
Aech_RNA20202_R0	gene_6889
Cbir_RNA12880_R0	gene_6890
Dqua_RNA12089_R0	gene_6891
Dqua_RNA12098_R0	gene_6892
Cbir_RNA17299_R0	gene_6892
Dqua_RNA12104_R0	gene_6893
Dqua_RNA12109_R0	gene_6894
Nvit_RNA5770_R0	gene_6894
Dqua_RNA12108_R0	gene_6895
Dqua_RNA12112_R0	gene_6896
Mpha_RNA7604_R0	gene_6896
Sinv_RNA1908_R0	gene_6896
Dqua_RNA12117_R0	gene_6897
Dqua_RNA12121_R0	gene_6898
Amel_RNA12612_R0	gene_6898
Dqua_RNA12124_R0	gene_6899
Dqua_RNA17484_R1	gene_6900
Dqua_RNA12129_R0	gene_6901
Dqua_RNA12130_R0	gene_6901
Sinv_RNA3510_R0	gene_6901
Dqua_RNA12133_R0	gene_6902
Dqua_RNA12135_R0	gene_6902
Sinv_RNA3506_R0	gene_6902
Dqua_RNA12139_R0	gene_6903
Dqua_RNA12141_R0	gene_6904
Dqua_RNA12147_R0	gene_6905
Cbir_RNA22478_R1	gene_6905
Dqua_RNA12150_R0	gene_6906
Dqua_RNA12153_R0	gene_6907
Cbir_RNA18961_R0	gene_6908
Lhum_RNA8166_R0	gene_6909
Sinv_RNA14802_R0	gene_6909
Dqua_RNA12163_R0	gene_6910
Dqua_RNA12162_R0	gene_6910
Dqua_RNA12167_R0	gene_6911
Dqua_RNA12171_R0	gene_6912
Nvit_RNA11865_R0	gene_6912
Nvit_RNA11866_R0	gene_6912
Dqua_RNA12170_R0	gene_6913
Dqua_RNA12172_R0	gene_6914
Sinv_RNA14807_R0	gene_6914
Dqua_RNA12173_R0	gene_6915
Cbir_RNA20033_R0	gene_6915
Dqua_RNA12174_R0	gene_6916
Dqua_RNA12187_R0	gene_6917
Dqua_RNA12188_R0	gene_6917
Cbir_RNA18991_R0	gene_6917
Amel_RNA5114_R0	gene_6917
Nvit_RNA11884_R0	gene_6917
Amel_RNA5115_R0	gene_6917
Cbir_RNA11549_R0	gene_6918
Dqua_RNA11975_R0	gene_6919
Mpha_RNA23292_R0	gene_6920
Dqua_RNA11978_R0	gene_6921
Dqua_RNA11979_R0	gene_6922
Dqua_RNA11980_R0	gene_6923
Dqua_RNA11982_R0	gene_6924
Dqua_RNA11981_R0	gene_6925
Dqua_RNA11983_R0	gene_6926
Lhum_RNA17305_R0	gene_6927
Dqua_RNA11988_R0	gene_6928
Dqua_RNA11989_R0	gene_6929
Dqua_RNA11990_R0	gene_6930
Dqua_RNA11991_R0	gene_6931
Dqua_RNA11992_R0	gene_6932
Dqua_RNA11993_R0	gene_6933
Lhum_RNA17299_R0	gene_6933
Dqua_RNA11994_R0	gene_6934
Dqua_RNA11995_R0	gene_6935
Cbir_RNA11521_R0	gene_6935
Dqua_RNA11996_R0	gene_6936
Dqua_RNA11998_R0	gene_6937
Dqua_RNA12001_R0	gene_6938
Dmel_RNA3422_R1	gene_6938
Dqua_RNA12002_R0	gene_6939
Cbir_RNA11513_R0	gene_6939
Dqua_RNA12006_R0	gene_6940
Mpha_RNA20817_R0	gene_6940
Dqua_RNA12007_R0	gene_6941
Dqua_RNA12010_R0	gene_6942
Dqua_RNA12011_R0	gene_6942
Dqua_RNA12014_R0	gene_6943
Dqua_RNA12016_R0	gene_6944
Amel_RNA9673_R0	gene_6944
Mpha_RNA22739_R0	gene_6944
Dqua_RNA12019_R0	gene_6945
Cbir_RNA1992_R0	gene_6945
Mpha_RNA1201_R0	gene_6945
Dqua_RNA12020_R0	gene_6946
Dqua_RNA12037_R0	gene_6947
Dmel_RNA32179_R0	gene_6947
Dqua_RNA12045_R0	gene_6948
Dqua_RNA12051_R0	gene_6949
Dqua_RNA12053_R0	gene_6950
Dqua_RNA12052_R0	gene_6950
Amel_RNA17513_R0	gene_6950
Dqua_RNA12057_R0	gene_6951
Dqua_RNA12058_R0	gene_6951
Dmel_RNA4803_R0	gene_6951
Dqua_RNA12060_R0	gene_6952
Cbir_RNA12858_R0	gene_6953
Dqua_RNA12062_R0	gene_6954
Dqua_RNA12064_R0	gene_6955
Dqua_RNA12063_R0	gene_6955
Dqua_RNA12066_R0	gene_6955
Dqua_RNA12065_R0	gene_6955
Sinv_RNA12844_R0	gene_6955
Nvit_RNA22351_R0	gene_6955
Amel_RNA25398_R1	gene_6955
Mpha_RNA20376_R0	gene_6956
Aech_RNA21234_R0	gene_6957
Nvit_RNA3640_R0	gene_6958
Mpha_RNA8238_R0	gene_6959
Dqua_RNA12086_R0	gene_6960
Dqua_RNA12088_R0	gene_6960
Dqua_RNA12094_R0	gene_6961
Dqua_RNA12093_R0	gene_6961
Dqua_RNA12092_R0	gene_6961
Lhum_RNA3590_R0	gene_6961
Dqua_RNA12095_R0	gene_6962
Mpha_RNA2339_R0	gene_6962
Dqua_RNA12101_R0	gene_6963
Dqua_RNA12099_R0	gene_6963
Dqua_RNA12105_R0	gene_6964
Dqua_RNA12107_R0	gene_6964
Nvit_RNA6889_R0	gene_6964
Dqua_RNA12110_R0	gene_6965
Amel_RNA25296_R0	gene_6965
Amel_RNA25297_R0	gene_6965
Dqua_RNA12111_R0	gene_6966
Dqua_RNA12116_R0	gene_6967
Dqua_RNA12115_R0	gene_6967
Dmel_RNA11421_R1	gene_6968
Dqua_RNA12119_R0	gene_6969
Aech_RNA22041_R0	gene_6969
Lhum_RNA16625_R0	gene_6969
Amel_RNA12608_R0	gene_6969
Nvit_RNA6272_R1	gene_6969
Dqua_RNA12118_R0	gene_6970
Dqua_RNA12123_R0	gene_6971
Amel_RNA2430_R1	gene_6971
Cbir_RNA16323_R1	gene_6971
Dqua_RNA12125_R0	gene_6972
Dqua_RNA12127_R0	gene_6973
Dqua_RNA12131_R0	gene_6974
Dqua_RNA12137_R0	gene_6975
Aech_RNA1338_R0	gene_6975
Cbir_RNA19117_R0	gene_6975
Dqua_RNA12138_R0	gene_6976
Dqua_RNA12140_R0	gene_6977
Lhum_RNA149_R0	gene_6977
Amel_RNA5362_R0	gene_6977
Amel_RNA5360_R0	gene_6977
Nvit_RNA2138_R0	gene_6977
Dqua_RNA12143_R0	gene_6978
Dqua_RNA12145_R0	gene_6979
Dqua_RNA12146_R0	gene_6979
Dqua_RNA12148_R0	gene_6980
Dqua_RNA12152_R0	gene_6981
Dqua_RNA12156_R0	gene_6982
Dqua_RNA12157_R0	gene_6983
Aech_RNA18634_R0	gene_6983
Nvit_RNA7159_R0	gene_6983
Cbir_RNA20315_R0	gene_6983
Mpha_RNA22847_R0	gene_6984
Dqua_RNA12161_R0	gene_6985
Cbir_RNA18954_R0	gene_6985
Dqua_RNA12165_R0	gene_6986
Dqua_RNA12166_R0	gene_6986
Dqua_RNA12164_R0	gene_6986
Dqua_RNA12169_R0	gene_6987
Dqua_RNA12177_R0	gene_6988
Aech_RNA3278_R0	gene_6989
Dqua_RNA12178_R0	gene_6990
Dqua_RNA12179_R0	gene_6991
Dqua_RNA12181_R0	gene_6992
Dqua_RNA12182_R0	gene_6993
Aech_RNA600_R0	gene_6993
Dqua_RNA12183_R0	gene_6994
Nvit_RNA11880_R0	gene_6994
Dqua_RNA12185_R0	gene_6995
Lhum_RNA21420_R0	gene_6995
Sinv_RNA14824_R0	gene_6995
Dqua_RNA12186_R0	gene_6996
Dqua_RNA12189_R0	gene_6997
Sinv_RNA6568_R0	gene_6998
Dqua_RNA12190_R0	gene_6999
Dqua_RNA12194_R0	gene_7000
Aech_RNA3764_R0	gene_7000
Amel_RNA1021_R1	gene_7000
Sinv_RNA5021_R4	gene_7000
Dqua_RNA12191_R0	gene_7001
Amel_RNA1013_R0	gene_7001
Dqua_RNA12193_R0	gene_7002
Mpha_RNA8887_R1	gene_7002
Nvit_RNA24327_R1	gene_7002
Dqua_RNA12196_R0	gene_7003
Dqua_RNA12198_R0	gene_7004
Dqua_RNA12203_R0	gene_7005
Dqua_RNA12204_R0	gene_7006
Dqua_RNA12207_R0	gene_7007
Lhum_RNA4785_R0	gene_7007
Lhum_RNA5041_R0	gene_7007
Dqua_RNA12211_R0	gene_7008
Dqua_RNA12213_R0	gene_7009
Sinv_RNA17649_R6	gene_7010
Dqua_RNA12199_R0	gene_7011
Cbir_RNA634_R0	gene_7011
Lhum_RNA17918_R0	gene_7011
Dqua_RNA12205_R0	gene_7012
Amel_RNA28843_R0	gene_7012
Dqua_RNA12212_R0	gene_7013
Lhum_RNA20643_R1	gene_7014
Nvit_RNA5913_R1	gene_7015
Dqua_RNA12214_R0	gene_7016
Dmel_RNA1884_R7	gene_7017
Dmel_RNA14390_R4	gene_7018
Dqua_RNA23067_R5	gene_7019
Dqua_RNA12215_R0	gene_7020
Dqua_RNA3661_R5	gene_7021
Dqua_RNA6391_R1	gene_7022
Dqua_RNA12216_R0	gene_7023
Dqua_RNA12217_R0	gene_7024
Dqua_RNA12218_R0	gene_7025
Dqua_RNA12219_R0	gene_7026
Amel_RNA24806_R0	gene_7026
Cbir_RNA10734_R5	gene_7027
Cbir_RNA17668_R5	gene_7028
Cbir_RNA20256_R1	gene_7029
Aech_RNA3250_R3	gene_7030
Aech_RNA648_R9	gene_7031
Aech_RNA18219_R0	gene_7032
Cbir_RNA16049_R8	gene_7033
Cbir_RNA20430_R7	gene_7034
Amel_RNA28253_R2	gene_7035
Mpha_RNA11567_R8	gene_7036
Dqua_RNA12224_R0	gene_7037
Dqua_RNA12222_R0	gene_7038
Amel_RNA163_R0	gene_7038
Dqua_RNA12227_R0	gene_7039
Cbir_RNA12792_R0	gene_7039
Dqua_RNA12228_R0	gene_7040
Lhum_RNA22208_R0	gene_7041
Cbir_RNA3889_R0	gene_7041
Dqua_RNA12233_R0	gene_7042
Cbir_RNA3886_R0	gene_7042
Dqua_RNA12234_R0	gene_7043
Dqua_RNA12243_R0	gene_7044
Dqua_RNA12247_R0	gene_7045
Dqua_RNA12249_R0	gene_7045
Aech_RNA16125_R0	gene_7045
Dqua_RNA12252_R0	gene_7046
Dqua_RNA12253_R0	gene_7046
Dmel_RNA18796_R0	gene_7046
Dqua_RNA12256_R0	gene_7047
Lhum_RNA22301_R0	gene_7048
Dqua_RNA12261_R0	gene_7049
Dqua_RNA12265_R0	gene_7049
Dmel_RNA27782_R0	gene_7049
Dqua_RNA12272_R0	gene_7050
Dqua_RNA12279_R0	gene_7051
Dqua_RNA12288_R0	gene_7052
Dqua_RNA12289_R0	gene_7052
Dqua_RNA12290_R0	gene_7053
Sinv_RNA14588_R6	gene_7053
Dmel_RNA16943_R1	gene_7053
Aech_RNA16663_R3	gene_7053
Dqua_RNA12307_R0	gene_7054
Cbir_RNA5260_R0	gene_7054
Dqua_RNA12309_R0	gene_7055
Dqua_RNA12311_R0	gene_7056
Dqua_RNA12316_R0	gene_7057
Sinv_RNA1613_R0	gene_7057
Amel_RNA20570_R0	gene_7057
Dqua_RNA12320_R0	gene_7058
Dqua_RNA12322_R0	gene_7059
Dqua_RNA12323_R0	gene_7059
Sinv_RNA4542_R0	gene_7059
Dqua_RNA12325_R0	gene_7060
Sinv_RNA4545_R0	gene_7060
Sinv_RNA4547_R0	gene_7061
Dqua_RNA12336_R0	gene_7062
Dqua_RNA12337_R0	gene_7062
Dqua_RNA12353_R0	gene_7063
Dqua_RNA12354_R0	gene_7064
Dqua_RNA12225_R0	gene_7065
Dqua_RNA12226_R0	gene_7065
Dqua_RNA12232_R0	gene_7066
Dqua_RNA12231_R0	gene_7066
Amel_RNA169_R0	gene_7066
Dqua_RNA12239_R0	gene_7067
Dqua_RNA12238_R0	gene_7068
Dqua_RNA12237_R0	gene_7068
Dqua_RNA12236_R0	gene_7068
Aech_RNA12946_R0	gene_7068
Mpha_RNA16178_R0	gene_7068
Cbir_RNA3882_R0	gene_7068
Dqua_RNA12240_R0	gene_7069
Aech_RNA12949_R0	gene_7069
Cbir_RNA3876_R0	gene_7069
Amel_RNA10844_R0	gene_7069
Nvit_RNA18897_R0	gene_7069
Dqua_RNA12242_R0	gene_7070
Dqua_RNA12245_R0	gene_7071
Dqua_RNA12251_R0	gene_7072
Lhum_RNA22306_R0	gene_7073
Mpha_RNA5155_R0	gene_7073
Dqua_RNA12258_R0	gene_7074
Dqua_RNA12260_R0	gene_7075
Sinv_RNA5937_R0	gene_7076
Amel_RNA11315_R0	gene_7076
Dqua_RNA12273_R0	gene_7077
Dqua_RNA12275_R0	gene_7077
Dqua_RNA12276_R0	gene_7077
Cbir_RNA3826_R0	gene_7077
Dqua_RNA12278_R0	gene_7078
Dqua_RNA12282_R0	gene_7079
Nvit_RNA12192_R0	gene_7080
Dqua_RNA12286_R0	gene_7081
Dqua_RNA12292_R0	gene_7082
Lhum_RNA22240_R0	gene_7083
Dqua_RNA12295_R0	gene_7084
Dqua_RNA12296_R0	gene_7085
Dqua_RNA12302_R0	gene_7086
Dqua_RNA12301_R0	gene_7086
Dqua_RNA12305_R0	gene_7087
Dqua_RNA12304_R0	gene_7087
Amel_RNA11500_R0	gene_7087
Dqua_RNA12308_R0	gene_7088
Dqua_RNA12310_R0	gene_7089
Dqua_RNA12317_R0	gene_7090
Dqua_RNA12319_R0	gene_7091
Amel_RNA20663_R0	gene_7091
Dqua_RNA12321_R0	gene_7092
Aech_RNA2495_R0	gene_7093
Dqua_RNA12326_R0	gene_7094
Cbir_RNA9039_R0	gene_7094
Sinv_RNA5789_R1	gene_7094
Mpha_RNA4328_R6	gene_7094
Dqua_RNA12329_R0	gene_7095
Dqua_RNA12330_R0	gene_7096
Dqua_RNA12335_R0	gene_7097
Dqua_RNA12334_R0	gene_7097
Lhum_RNA16843_R0	gene_7098
Dqua_RNA12339_R0	gene_7099
Dqua_RNA12340_R0	gene_7100
Cbir_RNA6963_R0	gene_7101
Dqua_RNA12352_R0	gene_7102
Sinv_RNA5788_R0	gene_7102
Sinv_RNA661_R0	gene_7103
Dqua_RNA14710_R8	gene_7104
Dqua_RNA19050_R8	gene_7105
Cbir_RNA22545_R1	gene_7106
Dqua_RNA12356_R0	gene_7107
Sinv_RNA22033_R2	gene_7108
Cbir_RNA24044_R5	gene_7109
Dqua_RNA12358_R0	gene_7110
Dqua_RNA14709_R3	gene_7111
Lhum_RNA871_R1	gene_7112
Dqua_RNA6389_R7	gene_7113
Dqua_RNA2140_R5	gene_7114
Sinv_RNA20964_R1	gene_7115
Cbir_RNA11283_R0	gene_7116
Dqua_RNA12359_R0	gene_7117
Dqua_RNA12360_R0	gene_7117
Mpha_RNA9864_R2	gene_7117
Mpha_RNA9373_R1	gene_7117
Dqua_RNA12362_R0	gene_7118
Dqua_RNA12363_R0	gene_7119
Dqua_RNA12373_R4	gene_7120
Dqua_RNA12382_R0	gene_7121
Dqua_RNA12383_R0	gene_7122
Mpha_RNA23533_R0	gene_7122
Dmel_RNA5792_R0	gene_7122
Sinv_RNA17695_R0	gene_7122
Nvit_RNA23585_R0	gene_7122
Dqua_RNA12391_R0	gene_7123
Dqua_RNA12392_R0	gene_7123
Dqua_RNA12401_R0	gene_7124
Dqua_RNA12402_R0	gene_7125
Dqua_RNA12403_R0	gene_7126
Dqua_RNA12406_R0	gene_7127
Mpha_RNA17843_R0	gene_7127
Dqua_RNA12410_R0	gene_7128
Dqua_RNA12411_R0	gene_7128
Dqua_RNA12412_R0	gene_7128
Sinv_RNA13024_R0	gene_7128
Dqua_RNA12416_R0	gene_7129
Dqua_RNA12424_R0	gene_7130
Sinv_RNA21075_R0	gene_7130
Cbir_RNA14022_R0	gene_7131
Dqua_RNA23133_R4	gene_7132
Lhum_RNA6357_R0	gene_7133
Sinv_RNA3090_R0	gene_7134
Nvit_RNA2512_R0	gene_7134
Dmel_RNA14390_R9	gene_7135
Amel_RNA28392_R0	gene_7136
Dqua_RNA12428_R0	gene_7137
Dqua_RNA12429_R0	gene_7138
Dqua_RNA12430_R0	gene_7138
Amel_RNA15028_R0	gene_7138
Lhum_RNA6365_R0	gene_7138
Dqua_RNA12440_R0	gene_7139
Dmel_RNA28352_R0	gene_7139
Dqua_RNA12441_R0	gene_7140
Dqua_RNA12443_R0	gene_7141
Cbir_RNA6997_R1	gene_7142
Dqua_RNA12445_R0	gene_7143
Dqua_RNA12446_R0	gene_7144
Cbir_RNA21237_R0	gene_7145
Dqua_RNA12452_R0	gene_7146
Dqua_RNA12453_R0	gene_7147
Lhum_RNA23018_R0	gene_7147
Sinv_RNA19077_R0	gene_7147
Mpha_RNA15294_R0	gene_7147
Amel_RNA27654_R0	gene_7147
Mpha_RNA1510_R0	gene_7147
Sinv_RNA11063_R0	gene_7147
Dqua_RNA12454_R0	gene_7148
Dqua_RNA12465_R0	gene_7149
Dqua_RNA12466_R0	gene_7150
Aech_RNA16040_R0	gene_7151
Cbir_RNA21768_R0	gene_7151
Dqua_RNA12480_R0	gene_7152
Dqua_RNA12488_R0	gene_7153
Dqua_RNA12495_R0	gene_7154
Dqua_RNA12505_R0	gene_7155
Cbir_RNA23491_R0	gene_7156
Lhum_RNA16703_R2	gene_7157
Amel_RNA26137_R0	gene_7158
Dqua_RNA12375_R0	gene_7159
Lhum_RNA1569_R0	gene_7159
Dqua_RNA12384_R0	gene_7160
Dqua_RNA12385_R0	gene_7161
Aech_RNA13084_R0	gene_7161
Dmel_RNA3190_R0	gene_7161
Dmel_RNA16544_R2	gene_7161
Cbir_RNA3249_R0	gene_7161
Dqua_RNA12389_R0	gene_7162
Dqua_RNA12390_R0	gene_7162
Amel_RNA15144_R0	gene_7162
Nvit_RNA4378_R0	gene_7162
Dqua_RNA12393_R0	gene_7163
Amel_RNA21755_R0	gene_7163
Dqua_RNA12397_R0	gene_7164
Dqua_RNA12398_R0	gene_7164
Amel_RNA28042_R7	gene_7164
Amel_RNA12063_R8	gene_7164
Dmel_RNA19368_R4	gene_7164
Sinv_RNA13202_R5	gene_7164
Dqua_RNA12404_R0	gene_7165
Dqua_RNA12407_R0	gene_7166
Dqua_RNA12422_R0	gene_7167
Aech_RNA10351_R0	gene_7167
Dqua_RNA12425_R0	gene_7168
Dqua_RNA12426_R0	gene_7168
Lhum_RNA10389_R0	gene_7168
Dqua_RNA12436_R0	gene_7169
Dmel_RNA28082_R0	gene_7169
Dqua_RNA12437_R0	gene_7170
Dqua_RNA12439_R0	gene_7171
Cbir_RNA21777_R0	gene_7171
Aech_RNA16214_R0	gene_7171
Aech_RNA16215_R0	gene_7171
Dqua_RNA12438_R0	gene_7172
Dqua_RNA12442_R0	gene_7173
Aech_RNA16206_R0	gene_7174
Dqua_RNA12448_R0	gene_7175
Dqua_RNA12449_R0	gene_7175
Dmel_RNA9525_R0	gene_7175
Dqua_RNA12451_R0	gene_7176
Aech_RNA18165_R0	gene_7176
Dqua_RNA12459_R0	gene_7177
Dqua_RNA12458_R0	gene_7177
Lhum_RNA23016_R0	gene_7177
Dqua_RNA2158_R3	gene_7177
Cbir_RNA1780_R3	gene_7177
Aech_RNA14426_R2	gene_7177
Dmel_RNA33856_R4	gene_7177
Aech_RNA21325_R0	gene_7177
Amel_RNA14241_R4	gene_7177
Amel_RNA27279_R0	gene_7177
Dqua_RNA12460_R0	gene_7178
Dmel_RNA31556_R0	gene_7178
Dqua_RNA12468_R0	gene_7179
Dqua_RNA12473_R0	gene_7180
Dqua_RNA12475_R0	gene_7181
Dmel_RNA14408_R0	gene_7182
Dqua_RNA8097_R7	gene_7183
Sinv_RNA5197_R0	gene_7184
Dqua_RNA12493_R0	gene_7185
Dqua_RNA12506_R0	gene_7186
Dmel_RNA33765_R0	gene_7186
Cbir_RNA20430_R2	gene_7187
Dqua_RNA22789_R6	gene_7188
Mpha_RNA6749_R5	gene_7189
Lhum_RNA16703_R9	gene_7190
Dqua_RNA9195_R5	gene_7191
Dqua_RNA11619_R3	gene_7192
Sinv_RNA17715_R1	gene_7193
Dqua_RNA12512_R0	gene_7194
Dmel_RNA2431_R0	gene_7194
Dqua_RNA12516_R0	gene_7195
Dqua_RNA12518_R0	gene_7196
Dqua_RNA12519_R0	gene_7196
Cbir_RNA22759_R0	gene_7196
Cbir_RNA22760_R0	gene_7196
Sinv_RNA2442_R0	gene_7196
Dqua_RNA12521_R0	gene_7197
Dqua_RNA12520_R0	gene_7197
Cbir_RNA19766_R0	gene_7197
Dqua_RNA12526_R0	gene_7198
Sinv_RNA9644_R0	gene_7198
Aech_RNA13744_R0	gene_7198
Dmel_RNA1134_R0	gene_7198
Aech_RNA13747_R0	gene_7199
Cbir_RNA25263_R0	gene_7199
Sinv_RNA18631_R0	gene_7200
Cbir_RNA20971_R1	gene_7201
Dqua_RNA12537_R0	gene_7202
Dqua_RNA12543_R0	gene_7203
Dqua_RNA12544_R0	gene_7203
Nvit_RNA1662_R0	gene_7203
Dqua_RNA12545_R0	gene_7204
Dqua_RNA12553_R0	gene_7205
Dmel_RNA23440_R0	gene_7205
Dqua_RNA22027_R1	gene_7206
Dqua_RNA12563_R0	gene_7207
Dqua_RNA12564_R0	gene_7208
Dqua_RNA12567_R0	gene_7209
Lhum_RNA16277_R0	gene_7209
Nvit_RNA1426_R0	gene_7209
Aech_RNA18379_R1	gene_7209
Nvit_RNA11848_R2	gene_7209
Dqua_RNA12568_R0	gene_7210
Dqua_RNA12576_R0	gene_7211
Dqua_RNA12577_R0	gene_7211
Dqua_RNA12578_R0	gene_7211
Lhum_RNA5462_R0	gene_7211
Cbir_RNA19937_R0	gene_7211
Aech_RNA12809_R3	gene_7212
Dqua_RNA12580_R0	gene_7213
Sinv_RNA8314_R0	gene_7213
Lhum_RNA1596_R0	gene_7213
Dqua_RNA12582_R0	gene_7214
Dqua_RNA12587_R0	gene_7215
Cbir_RNA2267_R0	gene_7215
Nvit_RNA3614_R0	gene_7215
Dqua_RNA12589_R0	gene_7216
Mpha_RNA3592_R0	gene_7216
Cbir_RNA6482_R0	gene_7217
Lhum_RNA175_R7	gene_7218
Dqua_RNA12593_R0	gene_7219
Aech_RNA4934_R1	gene_7220
Aech_RNA4931_R6	gene_7221
Amel_RNA22601_R2	gene_7222
Aech_RNA9904_R0	gene_7223
Nvit_RNA5989_R0	gene_7223
Sinv_RNA11983_R0	gene_7224
Dqua_RNA12511_R0	gene_7225
Dqua_RNA12513_R0	gene_7226
Cbir_RNA4440_R0	gene_7226
Dqua_RNA12514_R0	gene_7227
Dqua_RNA12515_R0	gene_7228
Nvit_RNA3779_R1	gene_7228
Dqua_RNA12523_R0	gene_7229
Dqua_RNA12524_R0	gene_7230
Dqua_RNA12530_R0	gene_7231
Dqua_RNA12529_R0	gene_7231
Dqua_RNA12533_R0	gene_7232
Dqua_RNA12534_R0	gene_7233
Sinv_RNA16409_R0	gene_7233
Dqua_RNA13164_R1	gene_7233
Dqua_RNA12535_R0	gene_7234
Mpha_RNA12821_R0	gene_7234
Dqua_RNA12538_R0	gene_7235
Dmel_RNA29471_R0	gene_7235
Dqua_RNA12542_R0	gene_7236
