SINV_RNA2436_R0	gene_4
LNIG_RNA8103_R0	gene_9402
SINV_RNA17141_R0	gene_9404
LNIG_RNA8105_R0	gene_9405
LNIG_RNA8099_R3	gene_9406
LNIG_RNA11956_R2	gene_9407
SINV_RNA12260_R0	gene_9408
LNIG_RNA8109_R0	gene_9409
LHUM_RNA3236_R0	gene_9410
MPHA_RNA23116_R0	gene_9411
LHUM_RNA10205_R0	gene_9412
LHUM_RNA10207_R0	gene_9413
LHUM_RNA11721_R1	gene_9415
DMEL_RNA24194_R0	gene_9414
LNIG_RNA8112_R0	gene_9416
LNIG_RNA8113_R0	gene_9418
DQUA_RNA22392_R0	gene_9417
LNIG_RNA8114_R0	gene_9419
LNIG_RNA14265_R2	gene_9420
LNIG_RNA12332_R1	gene_9421
LNIG_RNA12333_R3	gene_9422
DQUA_RNA20366_R1	gene_9423
LNIG_RNA8115_R0	gene_9424
MPHA_RNA14096_R0	gene_9425
LNIG_RNA8116_R0	gene_9426
LNIG_RNA8117_R0	gene_9427
LNIG_RNA8119_R0	gene_9428
LNIG_RNA8120_R0	gene_9429
AECH_RNA9904_R0	gene_9430
LNIG_RNA8121_R0	gene_9431
CBIR_RNA15001_R0	gene_9432
LNIG_RNA8123_R0	gene_9433
AECH_RNA15827_R0	gene_9434
LNIG_RNA8125_R0	gene_9435
LNIG_RNA8125_R1	gene_9436
LNIG_RNA8126_R0	gene_9437
LNIG_RNA8127_R0	gene_9439
MPHA_RNA4815_R0	gene_9438
LNIG_RNA13883_R2	gene_9441
LNIG_RNA8129_R0	gene_9442
NVIT_RNA11512_R5	gene_9440
LNIG_RNA8130_R0	gene_9443
LNIG_RNA8132_R0	gene_9444
LNIG_RNA8133_R0	gene_9446
LNIG_RNA8134_R0	gene_9445
AECH_RNA7876_R0	gene_9448
AECH_RNA7877_R0	gene_9447
AECH_RNA4324_R0	gene_9449
LNIG_RNA8135_R0	gene_9450
DQUA_RNA10678_R0	gene_9451
LHUM_RNA15453_R0	gene_9452
LNIG_RNA8136_R0	gene_9454
LNIG_RNA8137_R0	gene_9455
LHUM_RNA15455_R0	gene_9453
LNIG_RNA8139_R0	gene_9457
SINV_RNA20367_R3	gene_9458
LNIG_RNA8140_R0	gene_9456
LNIG_RNA8141_R0	gene_9459
LNIG_RNA8142_R0	gene_9460
LNIG_RNA8143_R0	gene_9461
LNIG_RNA8144_R0	gene_9462
LNIG_RNA8145_R0	gene_9463
AECH_RNA19495_R1	gene_9464
LNIG_RNA8146_R0	gene_9467
LNIG_RNA13206_R3	gene_9465
LNIG_RNA8148_R0	gene_9466
AECH_RNA21786_R0	gene_9468
SINV_RNA18289_R0	gene_9472
LNIG_RNA8149_R0	gene_9470
LNIG_RNA8150_R0	gene_9469
LNIG_RNA8151_R0	gene_9471
LHUM_RNA6768_R1	gene_9473
LNIG_RNA8153_R0	gene_9474
CBIR_RNA13713_R0	gene_9475
MPHA_RNA20281_R0	gene_9476
LHUM_RNA7496_R0	gene_9477
LNIG_RNA8156_R0	gene_9478
LNIG_RNA8157_R0	gene_9479
LHUM_RNA18149_R0	gene_9480
DQUA_RNA21589_R0	gene_9481
LHUM_RNA10956_R0	gene_9483
LHUM_RNA10955_R0	gene_9482
LNIG_RNA8160_R0	gene_9484
SINV_RNA20736_R0	gene_9486
SINV_RNA20735_R0	gene_9485
LNIG_RNA8163_R0	gene_9487
LHUM_RNA5054_R0	gene_9488
SINV_RNA16991_R0	gene_9489
LNIG_RNA8164_R0	gene_9490
MPHA_RNA12396_R0	gene_9491
AMEL_RNA12478_R0	gene_9492
SINV_RNA7294_R0	gene_9493
LNIG_RNA8168_R0	gene_9494
MPHA_RNA2620_R1	gene_9495
AECH_RNA8954_R0	gene_9496
LHUM_RNA4276_R2	gene_9497
SINV_RNA8240_R0	gene_9498
NVIT_RNA10842_R9	gene_9501
LNIG_RNA8170_R0	gene_9502
LNIG_RNA9988_R1	gene_9499
LNIG_RNA8171_R0	gene_9503
LNIG_RNA8172_R0	gene_9500
LNIG_RNA8173_R0	gene_9504
SINV_RNA17662_R9	gene_9506
LNIG_RNA8174_R0	gene_9507
MPHA_RNA5179_R3	gene_9505
LHUM_RNA17243_R0	gene_9510
LNIG_RNA8176_R0	gene_9508
LNIG_RNA8177_R0	gene_9511
NVIT_RNA4607_R1	gene_9509
CBIR_RNA23136_R0	gene_9512
LNIG_RNA8179_R0	gene_9513
DMEL_RNA18375_R0	gene_9514
LNIG_RNA8181_R0	gene_9515
LNIG_RNA8182_R0	gene_9516
LNIG_RNA8185_R0	gene_9517
NVIT_RNA24309_R0	gene_9518
LNIG_RNA8186_R0	gene_9519
LHUM_RNA9143_R0	gene_9520
SINV_RNA18440_R0	gene_9521
AECH_RNA17639_R0	gene_9522
LNIG_RNA8188_R0	gene_9524
DMEL_RNA30493_R7	gene_9525
MPHA_RNA16054_R0	gene_9523
LNIG_RNA8189_R0	gene_9526
LNIG_RNA8190_R1	gene_9529
LNIG_RNA14485_R1	gene_9527
LNIG_RNA8192_R1	gene_9528
LNIG_RNA8190_R0	gene_9530
SINV_RNA4131_R0	gene_9531
CBIR_RNA3550_R0	gene_9532
SINV_RNA808_R0	gene_9533
LNIG_RNA8194_R0	gene_9534
LNIG_RNA8195_R0	gene_9535
LNIG_RNA15892_R6	gene_9536
LHUM_RNA1001_R0	gene_9537
CBIR_RNA14625_R0	gene_9538
AECH_RNA3364_R0	gene_9539
LNIG_RNA8200_R0	gene_9540
LNIG_RNA8201_R0	gene_9541
AMEL_RNA28590_R0	gene_9542
LNIG_RNA8202_R0	gene_9546
LNIG_RNA8203_R0	gene_9547
LNIG_RNA8204_R0	gene_9543
LNIG_RNA8205_R0	gene_9548
LNIG_RNA8206_R0	gene_9544
LNIG_RNA8207_R0	gene_9545
LNIG_RNA8208_R0	gene_9549
LHUM_RNA894_R0	gene_9550
LNIG_RNA8209_R0	gene_9552
LNIG_RNA8210_R0	gene_9551
AECH_RNA21512_R0	gene_9554
MPHA_RNA14319_R0	gene_9553
DQUA_RNA11417_R0	gene_9555
LNIG_RNA8212_R0	gene_9556
LNIG_RNA8213_R0	gene_9557
LNIG_RNA8214_R0	gene_9559
LNIG_RNA8215_R0	gene_9558
LNIG_RNA8216_R0	gene_9560
LNIG_RNA8217_R0	gene_9561
MPHA_RNA3845_R6	gene_9562
LNIG_RNA8219_R0	gene_9563
LNIG_RNA8220_R0	gene_9564
LNIG_RNA8221_R0	gene_9565
LHUM_RNA1533_R4	gene_9566
LNIG_RNA8222_R0	gene_9567
LNIG_RNA14496_R4	gene_9568
LNIG_RNA14408_R1	gene_9571
LNIG_RNA8224_R0	gene_9570
LNIG_RNA8225_R0	gene_9569
LNIG_RNA8226_R0	gene_9572
LNIG_RNA8227_R0	gene_9573
LNIG_RNA8228_R0	gene_9574
SINV_RNA8978_R0	gene_9575
LNIG_RNA8229_R0	gene_9576
LNIG_RNA8230_R0	gene_9579
LNIG_RNA8231_R0	gene_9580
LNIG_RNA8232_R0	gene_9577
MPHA_RNA2975_R1	gene_9578
AECH_RNA10722_R4	gene_9581
LNIG_RNA8233_R0	gene_9583
CBIR_RNA24752_R0	gene_9584
DQUA_RNA359_R0	gene_9582
SINV_RNA5346_R0	gene_9587
MPHA_RNA2764_R0	gene_9585
LNIG_RNA8236_R0	gene_9586
LNIG_RNA8238_R0	gene_9590
LNIG_RNA8239_R0	gene_9588
LNIG_RNA8240_R0	gene_9589
LNIG_RNA9916_R1	gene_9591
LNIG_RNA8241_R0	gene_9594
SINV_RNA20569_R7	gene_9595
LNIG_RNA8242_R0	gene_9592
LNIG_RNA8243_R0	gene_9593
LNIG_RNA8244_R0	gene_9596
LNIG_RNA15605_R7	gene_9597
LNIG_RNA8245_R0	gene_9598
LNIG_RNA8246_R0	gene_9599
AECH_RNA5787_R4	gene_9600
LNIG_RNA8248_R0	gene_9601
LNIG_RNA16234_R8	gene_9602
LNIG_RNA8249_R0	gene_9603
LNIG_RNA8250_R0	gene_9604
LNIG_RNA8251_R0	gene_9605
AECH_RNA20267_R0	gene_9606
LHUM_RNA10125_R0	gene_9607
SINV_RNA2462_R0	gene_9609
LNIG_RNA8255_R0	gene_9608
LHUM_RNA14091_R0	gene_9611
LNIG_RNA8256_R0	gene_9610
LNIG_RNA8257_R0	gene_9612
AECH_RNA15260_R0	gene_9613
SINV_RNA9413_R0	gene_9614
LNIG_RNA8259_R0	gene_9615
LNIG_RNA8260_R0	gene_9616
LNIG_RNA8261_R0	gene_9617
LNIG_RNA8262_R0	gene_9618
LNIG_RNA8263_R0	gene_9619
LNIG_RNA8264_R0	gene_9621
AECH_RNA21947_R0	gene_9620
LNIG_RNA8267_R0	gene_9622
LNIG_RNA6722_R8	gene_9623
CBIR_RNA6668_R0	gene_9624
AECH_RNA6044_R0	gene_9625
LNIG_RNA8271_R0	gene_9626
LNIG_RNA8272_R0	gene_9628
LNIG_RNA8273_R0	gene_9627
MPHA_RNA6234_R1	gene_9629
LNIG_RNA8274_R0	gene_9630
LNIG_RNA8275_R0	gene_9631
LNIG_RNA8276_R0	gene_9633
LNIG_RNA8277_R0	gene_9634
LNIG_RNA8278_R0	gene_9635
LNIG_RNA8279_R0	gene_9632
LNIG_RNA8280_R0	gene_9636
MPHA_RNA4992_R1	gene_9637
LNIG_RNA8282_R1	gene_9638
LNIG_RNA8283_R1	gene_9639
LNIG_RNA8282_R0	gene_9640
LNIG_RNA8283_R0	gene_9641
CBIR_RNA25423_R0	gene_9642
LHUM_RNA2907_R0	gene_9644
LHUM_RNA2906_R0	gene_9645
LNIG_RNA8286_R0	gene_9646
LNIG_RNA8287_R0	gene_9643
CBIR_RNA9875_R0	gene_9647
LNIG_RNA11529_R2	gene_9648
DQUA_RNA19238_R0	gene_9649
LHUM_RNA14958_R0	gene_9650
AECH_RNA3465_R0	gene_9651
LNIG_RNA8294_R0	gene_9652
MPHA_RNA5179_R6	gene_9653
LNIG_RNA8295_R0	gene_9655
LNIG_RNA8296_R0	gene_9654
LNIG_RNA8297_R0	gene_9656
AMEL_RNA26228_R0	gene_9657
LNIG_RNA8298_R0	gene_9658
LHUM_RNA8259_R0	gene_9659
LNIG_RNA8299_R0	gene_9660
LNIG_RNA12837_R2	gene_9661
LNIG_RNA8302_R0	gene_9662
LNIG_RNA13054_R4	gene_9663
LNIG_RNA1549_R1	gene_9664
SINV_RNA11270_R0	gene_9665
MPHA_RNA263_R3	gene_9666
AECH_RNA20202_R0	gene_9667
LNIG_RNA8303_R0	gene_9668
LNIG_RNA8304_R0	gene_9669
LNIG_RNA8305_R0	gene_9670
LHUM_RNA18070_R0	gene_9671
CBIR_RNA1426_R0	gene_9672
NVIT_RNA16013_R7	gene_9673
LNIG_RNA8308_R0	gene_9674
LNIG_RNA8309_R0	gene_9675
NVIT_RNA9212_R0	gene_9676
LNIG_RNA8310_R0	gene_9677
LNIG_RNA8311_R0	gene_9678
LNIG_RNA13711_R1	gene_9681
LNIG_RNA8312_R0	gene_9679
LNIG_RNA15637_R2	gene_9682
LHUM_RNA593_R2	gene_9680
MPHA_RNA2976_R0	gene_9683
LHUM_RNA19003_R0	gene_9684
DQUA_RNA22959_R0	gene_9686
LNIG_RNA8315_R0	gene_9685
CBIR_RNA14446_R0	gene_9687
LNIG_RNA8661_R8	gene_9690
LNIG_RNA13173_R3	gene_9689
LNIG_RNA8020_R2	gene_9688
LNIG_RNA15203_R4	gene_9692
MPHA_RNA2620_R5	gene_9691
CBIR_RNA6487_R2	gene_9693
AECH_RNA4932_R3	gene_9694
AECH_RNA18971_R0	gene_9695
LHUM_RNA12287_R0	gene_9696
LHUM_RNA19769_R0	gene_9697
SINV_RNA14252_R1	gene_9698
LNIG_RNA8318_R0	gene_9700
CBIR_RNA19418_R0	gene_9699
DQUA_RNA10935_R0	gene_9701
LHUM_RNA3487_R1	gene_9704
LNIG_RNA8320_R0	gene_9703
SINV_RNA218_R1	gene_9702
LHUM_RNA15028_R1	gene_9705
SINV_RNA2312_R0	gene_9706
LNIG_RNA8323_R0	gene_9707
AMEL_RNA24503_R0	gene_9708
SINV_RNA18719_R0	gene_9709
LHUM_RNA18491_R0	gene_9710
LHUM_RNA16844_R0	gene_9711
LHUM_RNA16843_R0	gene_9712
LNIG_RNA8327_R0	gene_9713
DQUA_RNA10826_R0	gene_9714
LNIG_RNA8329_R0	gene_9716
LNIG_RNA8330_R0	gene_9717
LNIG_RNA8331_R0	gene_9718
LNIG_RNA8332_R0	gene_9715
LNIG_RNA8333_R0	gene_9719
LNIG_RNA8334_R0	gene_9721
SINV_RNA3711_R0	gene_9720
LNIG_RNA8335_R0	gene_9722
LNIG_RNA8336_R0	gene_9723
LNIG_RNA8338_R0	gene_9725
LNIG_RNA8339_R0	gene_9726
LNIG_RNA8340_R0	gene_9724
LNIG_RNA8341_R0	gene_9727
LNIG_RNA17257_R7	gene_9730
LNIG_RNA11093_R3	gene_9728
LNIG_RNA8342_R0	gene_9729
LNIG_RNA8343_R0	gene_9735
LNIG_RNA8344_R0	gene_9737
LNIG_RNA8345_R0	gene_9736
LNIG_RNA7531_R5	gene_9738
LNIG_RNA8346_R0	gene_9731
LNIG_RNA8347_R0	gene_9739
LNIG_RNA8348_R0	gene_9732
LNIG_RNA13114_R6	gene_9733
LNIG_RNA14078_R5	gene_9734
LNIG_RNA8350_R0	gene_9740
AECH_RNA9048_R0	gene_9742
LNIG_RNA8352_R0	gene_9741
LNIG_RNA8353_R0	gene_9743
AECH_RNA2726_R4	gene_9744
LNIG_RNA8354_R0	gene_9745
AECH_RNA4930_R0	gene_9747
CBIR_RNA6487_R0	gene_9746
LNIG_RNA8355_R0	gene_9748
LNIG_RNA8356_R0	gene_9751
AECH_RNA18464_R0	gene_9749
AECH_RNA18467_R0	gene_9750
LNIG_RNA8358_R0	gene_9752
LNIG_RNA5179_R2	gene_9753
LNIG_RNA8359_R0	gene_9754
LNIG_RNA8360_R0	gene_9755
SINV_RNA20455_R0	gene_9756
CBIR_RNA8942_R0	gene_9757
LNIG_RNA8363_R0	gene_9758
CBIR_RNA18148_R0	gene_9760
LNIG_RNA8364_R0	gene_9759
LNIG_RNA8365_R0	gene_9761
AECH_RNA3297_R0	gene_9762
LNIG_RNA8366_R0	gene_9764
SINV_RNA14799_R0	gene_9763
LNIG_RNA8368_R0	gene_9765
LNIG_RNA8369_R0	gene_9766
LNIG_RNA13053_R3	gene_9768
LNIG_RNA8370_R0	gene_9767
LHUM_RNA13813_R0	gene_9769
DQUA_RNA17418_R0	gene_9772
LNIG_RNA8372_R0	gene_9773
LNIG_RNA8373_R0	gene_9770
DQUA_RNA17421_R1	gene_9771
AECH_RNA11249_R3	gene_9774
SINV_RNA19007_R8	gene_9775
LNIG_RNA10850_R1	gene_9778
LNIG_RNA8374_R0	gene_9776
LNIG_RNA13369_R7	gene_9779
LNIG_RNA8375_R0	gene_9777
LNIG_RNA8376_R0	gene_9780
LHUM_RNA7883_R1	gene_9781
LHUM_RNA7903_R0	gene_9782
LNIG_RNA8377_R0	gene_9783
LNIG_RNA8378_R0	gene_9784
LNIG_RNA8379_R0	gene_9786
CBIR_RNA18422_R1	gene_9785
LNIG_RNA17477_R6	gene_9787
SINV_RNA13450_R0	gene_9788
AMEL_RNA8394_R2	gene_9789
LNIG_RNA8381_R0	gene_9790
LNIG_RNA7243_R6	gene_9792
LNIG_RNA8383_R0	gene_9791
LNIG_RNA8384_R0	gene_9795
LNIG_RNA8385_R0	gene_9793
CBIR_RNA15499_R4	gene_9794
LNIG_RNA8386_R0	gene_9796
LNIG_RNA8225_R7	gene_9797
LHUM_RNA15851_R0	gene_9798
LNIG_RNA14295_R3	gene_9801
SINV_RNA22024_R2	gene_9800
LNIG_RNA14597_R4	gene_9799
LHUM_RNA16153_R0	gene_9802
LNIG_RNA8390_R0	gene_9803
SINV_RNA5800_R0	gene_9804
LNIG_RNA8392_R0	gene_9805
LNIG_RNA8393_R0	gene_9806
LHUM_RNA527_R0	gene_9807
LHUM_RNA526_R0	gene_9809
LHUM_RNA14279_R2	gene_9808
LNIG_RNA8396_R0	gene_9810
LHUM_RNA19505_R0	gene_9812
MPHA_RNA18901_R0	gene_9811
LNIG_RNA14284_R9	gene_9813
LHUM_RNA5821_R0	gene_9814
LNIG_RNA8401_R0	gene_9815
AMEL_RNA20799_R1	gene_9816
LHUM_RNA1533_R2	gene_9817
SINV_RNA3864_R0	gene_9818
LHUM_RNA20427_R0	gene_9819
SINV_RNA15724_R2	gene_9820
SINV_RNA11999_R1	gene_9823
LNIG_RNA15000_R6	gene_9821
LNIG_RNA10344_R8	gene_9822
LNIG_RNA8404_R0	gene_9824
LNIG_RNA8405_R0	gene_9825
LNIG_RNA8406_R0	gene_9826
LNIG_RNA8407_R0	gene_9828
LNIG_RNA8408_R0	gene_9827
LNIG_RNA8409_R0	gene_9829
LNIG_RNA8410_R0	gene_9830
LNIG_RNA8411_R0	gene_9831
LNIG_RNA8412_R0	gene_9833
LNIG_RNA8413_R0	gene_9832
LNIG_RNA8414_R0	gene_9835
NVIT_RNA16009_R5	gene_9836
LNIG_RNA9067_R2	gene_9837
MPHA_RNA415_R0	gene_9838
LNIG_RNA10077_R9	gene_9834
LNIG_RNA8415_R0	gene_9839
MPHA_RNA8389_R0	gene_9840
LNIG_RNA8416_R0	gene_9841
LNIG_RNA8417_R0	gene_9845
LNIG_RNA8418_R0	gene_9842
LNIG_RNA8419_R0	gene_9843
LNIG_RNA8420_R0	gene_9844
LNIG_RNA8421_R0	gene_9846
LHUM_RNA194_R0	gene_9847
LNIG_RNA8422_R0	gene_9848
AECH_RNA3355_R0	gene_9850
LNIG_RNA8424_R0	gene_9849
MPHA_RNA20170_R0	gene_9851
LNIG_RNA11176_R5	gene_9852
MPHA_RNA4015_R0	gene_9854
LNIG_RNA8426_R0	gene_9853
LNIG_RNA8427_R0	gene_9855
SINV_RNA17397_R1	gene_9858
LHUM_RNA21147_R0	gene_9856
CBIR_RNA23213_R0	gene_9857
LNIG_RNA8428_R0	gene_9859
LNIG_RNA8429_R0	gene_9860
LNIG_RNA15962_R5	gene_9861
LNIG_RNA8430_R0	gene_9862
AECH_RNA6677_R0	gene_9864
LNIG_RNA8432_R0	gene_9863
DQUA_RNA6988_R0	gene_9865
LNIG_RNA8434_R0	gene_9866
LNIG_RNA8435_R0	gene_9867
LNIG_RNA8436_R0	gene_9868
LNIG_RNA15514_R3	gene_9870
LNIG_RNA15515_R8	gene_9869
LNIG_RNA8438_R0	gene_9871
AECH_RNA12514_R0	gene_9872
LNIG_RNA8440_R0	gene_9873
LNIG_RNA8441_R0	gene_9876
LNIG_RNA8442_R0	gene_9874
LNIG_RNA8443_R0	gene_9875
LNIG_RNA8444_R0	gene_9877
LNIG_RNA8445_R0	gene_9878
LNIG_RNA8446_R0	gene_9879
SINV_RNA16257_R0	gene_9880
LNIG_RNA8447_R0	gene_9881
LHUM_RNA16890_R0	gene_9882
LHUM_RNA7136_R0	gene_9883
LNIG_RNA8450_R0	gene_9884
LNIG_RNA8451_R0	gene_9885
NVIT_RNA19640_R1	gene_9886
LNIG_RNA8452_R0	gene_9887
LNIG_RNA8453_R0	gene_9888
LNIG_RNA8454_R0	gene_9889
LNIG_RNA8455_R0	gene_9891
LNIG_RNA8456_R0	gene_9892
LNIG_RNA8457_R0	gene_9893
LNIG_RNA8458_R0	gene_9890
NVIT_RNA17275_R1	gene_9894
LNIG_RNA8459_R0	gene_9895
LNIG_RNA8460_R0	gene_9896
LNIG_RNA8461_R0	gene_9897
LNIG_RNA8462_R0	gene_9899
LNIG_RNA8463_R0	gene_9898
DQUA_RNA7923_R1	gene_9903
LNIG_RNA11849_R5	gene_9902
LNIG_RNA11653_R2	gene_9900
CBIR_RNA18736_R1	gene_9901
LNIG_RNA8465_R0	gene_9904
SINV_RNA2320_R0	gene_9905
AECH_RNA16725_R0	gene_9906
MPHA_RNA306_R0	gene_9907
DQUA_RNA22886_R0	gene_9908
SINV_RNA11902_R0	gene_9909
LHUM_RNA22663_R0	gene_9910
LNIG_RNA8470_R0	gene_9911
AECH_RNA7354_R1	gene_9912
LNIG_RNA8471_R0	gene_9913
LNIG_RNA8472_R0	gene_9914
MPHA_RNA6658_R7	gene_9915
LHUM_RNA19753_R0	gene_9916
LHUM_RNA13127_R0	gene_9917
LNIG_RNA8476_R0	gene_9918
LNIG_RNA16436_R1	gene_9919
LNIG_RNA13421_R7	gene_9920
LNIG_RNA11036_R1	gene_9921
LNIG_RNA8695_R2	gene_9922
CBIR_RNA20122_R0	gene_9923
LNIG_RNA14904_R2	gene_9924
DQUA_RNA23482_R2	gene_9926
LNIG_RNA8482_R0	gene_9925
LNIG_RNA8483_R0	gene_9927
SINV_RNA11158_R0	gene_9928
AECH_RNA6664_R0	gene_9929
LNIG_RNA8485_R0	gene_9930
LNIG_RNA8486_R0	gene_9931
MPHA_RNA20924_R0	gene_9932
LNIG_RNA8488_R0	gene_9933
CBIR_RNA1645_R3	gene_9934
LNIG_RNA8489_R0	gene_9935
LNIG_RNA8490_R1	gene_9936
LNIG_RNA8491_R0	gene_9937
LNIG_RNA8492_R0	gene_9938
AECH_RNA7501_R0	gene_9939
LNIG_RNA8494_R0	gene_9940
LNIG_RNA6160_R1	gene_9943
LNIG_RNA8495_R0	gene_9942
LNIG_RNA8496_R0	gene_9941
LNIG_RNA8497_R0	gene_9944
LNIG_RNA8498_R0	gene_9946
MPHA_RNA23491_R0	gene_9945
LHUM_RNA1545_R8	gene_9947
LNIG_RNA8501_R0	gene_9948
LHUM_RNA23174_R0	gene_9949
LHUM_RNA23172_R0	gene_9950
LNIG_RNA8502_R0	gene_9951
LNIG_RNA4378_R1	gene_9952
AECH_RNA11547_R0	gene_9953
MPHA_RNA23642_R3	gene_9954
LNIG_RNA8503_R0	gene_9955
LNIG_RNA8504_R0	gene_9956
LNIG_RNA8505_R0	gene_9957
LHUM_RNA7462_R0	gene_9959
CBIR_RNA11146_R0	gene_9958
LNIG_RNA8508_R0	gene_9960
LNIG_RNA8509_R0	gene_9961
LNIG_RNA8510_R0	gene_9962
MPHA_RNA19096_R0	gene_9964
LHUM_RNA6177_R0	gene_9963
CBIR_RNA6735_R1	gene_9965
LNIG_RNA8513_R0	gene_9966
LNIG_RNA8514_R0	gene_9968
LNIG_RNA8515_R0	gene_9967
LNIG_RNA8516_R0	gene_9969
LNIG_RNA8517_R0	gene_9970
LNIG_RNA8518_R0	gene_9971
LNIG_RNA7590_R2	gene_9972
LNIG_RNA8523_R0	gene_9973
LNIG_RNA8526_R0	gene_9974
SINV_RNA17048_R0	gene_9975
LNIG_RNA8528_R0	gene_9976
AMEL_RNA28648_R1	gene_9977
LNIG_RNA8529_R0	gene_9978
LHUM_RNA17101_R1	gene_9979
LNIG_RNA8530_R0	gene_9980
LNIG_RNA8531_R0	gene_9981
LNIG_RNA8532_R0	gene_9983
LNIG_RNA8533_R0	gene_9984
LNIG_RNA8534_R0	gene_9982
LNIG_RNA7313_R1	gene_9986
LNIG_RNA7615_R1	gene_9985
LHUM_RNA1302_R0	gene_9989
LNIG_RNA8537_R0	gene_9987
AECH_RNA16051_R0	gene_9988
LNIG_RNA8539_R0	gene_9990
LNIG_RNA8540_R0	gene_9991
LNIG_RNA8541_R0	gene_9993
SINV_RNA4676_R0	gene_9992
CBIR_RNA5173_R1	gene_9994
LNIG_RNA10358_R7	gene_9996
DQUA_RNA4622_R0	gene_9995
SINV_RNA6529_R1	gene_9997
DMEL_RNA9359_R0	gene_9998
LHUM_RNA3703_R0	gene_9999
MPHA_RNA20391_R0	gene_10001
LNIG_RNA8546_R0	gene_10000
LNIG_RNA8547_R0	gene_10003
LNIG_RNA8548_R0	gene_10002
AECH_RNA8575_R0	gene_10004
LNIG_RNA8549_R0	gene_10005
AECH_RNA20740_R0	gene_10006
SINV_RNA21353_R7	gene_10007
LNIG_RNA8551_R0	gene_10008
DQUA_RNA8099_R0	gene_10009
LNIG_RNA8552_R0	gene_10010
LNIG_RNA8553_R0	gene_10011
LNIG_RNA8554_R0	gene_10012
SINV_RNA12858_R6	gene_10014
LNIG_RNA8555_R0	gene_10013
CBIR_RNA22179_R0	gene_10015
LNIG_RNA8557_R0	gene_10016
LNIG_RNA8558_R0	gene_10017
AECH_RNA10867_R0	gene_10018
LNIG_RNA8560_R0	gene_10019
LNIG_RNA8561_R0	gene_10020
LNIG_RNA8562_R0	gene_10022
LNIG_RNA17774_R2	gene_10021
LNIG_RNA17773_R3	gene_10027
MPHA_RNA2762_R4	gene_10026
LNIG_RNA8563_R0	gene_10025
LNIG_RNA8564_R0	gene_10024
LNIG_RNA12449_R1	gene_10023
NVIT_RNA7556_R0	gene_10029
SINV_RNA15482_R5	gene_10030
DMEL_RNA2116_R8	gene_10028
LNIG_RNA8566_R0	gene_10031
LNIG_RNA8567_R0	gene_10032
LNIG_RNA8568_R0	gene_10033
LNIG_RNA8569_R0	gene_10034
LNIG_RNA8570_R0	gene_10035
LNIG_RNA8571_R0	gene_10036
LNIG_RNA8572_R0	gene_10037
SINV_RNA18399_R0	gene_10038
LNIG_RNA9939_R1	gene_10040
MPHA_RNA3082_R7	gene_10041
LNIG_RNA8574_R0	gene_10039
LNIG_RNA8575_R0	gene_10042
LNIG_RNA12412_R3	gene_10043
LNIG_RNA8576_R0	gene_10044
LHUM_RNA14773_R0	gene_10045
LHUM_RNA5229_R0	gene_10047
LNIG_RNA8577_R0	gene_10046
LNIG_RNA8578_R0	gene_10048
LNIG_RNA8579_R0	gene_10049
LNIG_RNA8580_R0	gene_10050
AECH_RNA11312_R0	gene_10051
LNIG_RNA8581_R0	gene_10052
SINV_RNA2822_R5	gene_10054
LNIG_RNA8582_R0	gene_10053
LNIG_RNA14087_R1	gene_10055
LNIG_RNA10494_R1	gene_10056
LNIG_RNA14284_R5	gene_10061
LNIG_RNA8585_R0	gene_10058
LNIG_RNA12381_R8	gene_10060
SINV_RNA12989_R2	gene_10057
LNIG_RNA8586_R0	gene_10059
LNIG_RNA15803_R6	gene_10062
LNIG_RNA8587_R0	gene_10063
CBIR_RNA24408_R0	gene_10065
LNIG_RNA8589_R0	gene_10064
NVIT_RNA2720_R0	gene_10067
LNIG_RNA11627_R6	gene_10068
LNIG_RNA8590_R0	gene_10066
MPHA_RNA7993_R0	gene_10069
AECH_RNA9379_R0	gene_10070
LNIG_RNA8592_R0	gene_10071
LNIG_RNA8593_R0	gene_10072
LNIG_RNA11806_R6	gene_10073
LNIG_RNA8595_R0	gene_10074
LNIG_RNA8596_R0	gene_10075
LNIG_RNA8597_R0	gene_10076
LHUM_RNA23876_R0	gene_10077
CBIR_RNA9476_R0	gene_10078
LNIG_RNA12881_R3	gene_10079
LNIG_RNA14494_R1	gene_10080
LNIG_RNA10344_R3	gene_10081
AECH_RNA19628_R0	gene_10083
LNIG_RNA8602_R0	gene_10082
LNIG_RNA8603_R0	gene_10084
LNIG_RNA8605_R0	gene_10085
LNIG_RNA8606_R0	gene_10087
LNIG_RNA8607_R0	gene_10086
AECH_RNA12190_R1	gene_10088
LNIG_RNA8587_R1	gene_10089
LNIG_RNA8608_R0	gene_10090
LNIG_RNA8609_R0	gene_10091
LNIG_RNA8610_R0	gene_10092
AECH_RNA150_R0	gene_10093
CBIR_RNA565_R0	gene_10094
MPHA_RNA14878_R0	gene_10095
LNIG_RNA8615_R0	gene_10098
LHUM_RNA15951_R0	gene_10099
LNIG_RNA8616_R0	gene_10096
SINV_RNA10362_R5	gene_10097
DQUA_RNA10918_R0	gene_10100
LNIG_RNA8618_R0	gene_10101
LNIG_RNA8619_R0	gene_10102
CBIR_RNA1905_R2	gene_10103
CBIR_RNA1905_R1	gene_10104
MPHA_RNA4205_R0	gene_10106
LNIG_RNA8623_R0	gene_10105
